Numero de parejas, Tiempo de ejecuci�n
230, 0.02014700 
230, 0.01996490 
230, 0.02232650 
230, 0.02475530 
230, 0.04027230 
230, 0.02673210 
230, 0.02985180 
230, 0.03008340 
230, 0.05192530 
230, 0.03844300 
230, 0.02163140 
230, 0.03025420 
230, 0.01845190 
230, 0.01531070 
230, 0.01501590 
230, 0.02837710 
230, 0.02343360 
230, 0.02209640 
230, 0.02448670 
230, 0.03148040 
230, 0.01169860 
230, 0.03804790 
230, 0.01267860 
230, 0.02663880 
230, 0.04037390 
230, 0.01923790 
230, 0.01652550 
230, 0.02504950 
230, 0.01207170 
230, 0.01323390 
230, 0.02140200 
230, 0.01688190 
230, 0.01945580 
230, 0.04302830 
230, 0.02313930 
230, 0.02251570 
230, 0.01919240 
230, 0.02035680 
230, 0.01103000 
230, 0.02146640 
230, 0.01076640 
230, 0.01371270 
230, 0.01139870 
240, 0.02205840 
240, 0.02394860 
240, 0.03000340 
240, 0.02873170 
240, 0.03136620 
240, 0.02612930 
240, 0.02477700 
240, 0.01621430 
240, 0.01612870 
240, 0.02456320 
240, 0.01837880 
240, 0.02266590 
240, 0.05222850 
240, 0.01564370 
240, 0.02552990 
240, 0.03047250 
240, 0.04796770 
240, 0.07582310 
240, 0.03406360 
240, 0.03868780 
240, 0.03108580 
240, 0.03941310 
240, 0.03922110 
240, 0.03397330 
240, 0.03113280 
240, 0.03956930 
240, 0.04281770 
240, 0.04677550 
240, 0.03880960 
240, 0.03100530 
240, 0.02998240 
240, 0.02360930 
240, 0.01653360 
240, 0.01572590 
240, 0.01433240 
240, 0.01618800 
240, 0.01783600 
240, 0.01568660 
240, 0.01671870 
240, 0.01366330 
240, 0.01275840 
240, 0.01505340 
240, 0.01389470 
240, 0.01421000 
240, 0.01448710 
240, 0.01267730 
240, 0.01289830 
240, 0.01427910 
240, 0.01337550 
240, 0.02453580 
250, 0.02238340 
250, 0.02155340 
250, 0.02273810 
250, 0.01402040 
250, 0.01335350 
250, 0.02357430 
250, 0.02205570 
250, 0.02200540 
250, 0.02076110 
250, 0.04088750 
250, 0.01997830 
250, 0.03315560 
250, 0.02918520 
250, 0.01846710 
250, 0.02980310 
250, 0.02387200 
250, 0.02585740 
250, 0.02342390 
250, 0.01899770 
250, 0.01293270 
250, 0.01310150 
250, 0.02306290 
250, 0.01799760 
250, 0.01554280 
250, 0.01511330 
250, 0.02479270 
250, 0.01415500 
250, 0.01301370 
250, 0.01237680 
250, 0.01370740 
250, 0.03048770 
250, 0.01608470 
250, 0.01881870 
250, 0.01877130 
250, 0.01666770 
250, 0.02133770 
250, 0.01514690 
250, 0.01630300 
250, 0.02648710 
250, 0.01946990 
250, 0.02076280 
250, 0.01940200 
250, 0.01611520 
250, 0.01340980 
250, 0.01311010 
250, 0.01372520 
250, 0.01294270 
250, 0.02375190 
250, 0.02214380 
250, 0.01857100 
260, 0.01075460 
260, 0.01390720 
260, 0.01861440 
260, 0.01720130 
260, 0.02338290 
260, 0.03044030 
260, 0.02095160 
260, 0.01683730 
260, 0.01721530 
260, 0.01188090 
260, 0.01068360 
260, 0.01320110 
260, 0.01224170 
260, 0.01318190 
260, 0.01233230 
260, 0.01343230 
260, 0.01368990 
260, 0.01507120 
260, 0.01271060 
260, 0.01322450 
260, 0.01363370 
260, 0.01303770 
260, 0.01227500 
260, 0.01220990 
260, 0.02132630 
260, 0.01672040 
260, 0.01691880 
260, 0.01413670 
260, 0.02811740 
260, 0.02153310 
260, 0.01218350 
260, 0.01505050 
260, 0.02538030 
260, 0.01266060 
260, 0.01164490 
260, 0.01157740 
260, 0.01069700 
260, 0.01133870 
260, 0.01247310 
260, 0.01461040 
260, 0.01403510 
260, 0.01359250 
260, 0.01646240 
260, 0.01399830 
260, 0.01623890 
260, 0.01361210 
260, 0.01685140 
260, 0.01516650 
260, 0.01627970 
260, 0.01119860 
270, 0.01366390 
270, 0.01351650 
270, 0.01672410 
270, 0.01716250 
270, 0.01853260 
270, 0.01611400 
270, 0.01835460 
270, 0.01637050 
270, 0.01950750 
