Numero de parejas, Tiempo de ejecución
130, 0.00620580 
130, 0.00197780 
130, 0.00212740 
130, 0.00259690 
130, 0.00596290 
130, 0.00513530 
130, 0.00315160 
130, 0.00453620 
130, 0.00322230 
130, 0.00234800 
130, 0.00484680 
130, 0.00218200 
130, 0.00344760 
130, 0.00216220 
130, 0.00227780 
130, 0.00212710 
130, 0.00370810 
140, 0.00342410 
140, 0.00287890 
140, 0.00294680 
140, 0.00310700 
140, 0.00299780 
140, 0.00396170 
140, 0.00329120 
140, 0.00266560 
140, 0.00279670 
140, 0.00930540 
140, 0.00372070 
140, 0.00272680 
140, 0.00296350 
140, 0.00309570 
140, 0.00282320 
140, 0.00389670 
140, 0.00281240 
140, 0.00321950 
140, 0.00262120 
140, 0.00588250 
150, 0.00362780 
150, 0.00572430 
150, 0.00326230 
150, 0.00505880 
150, 0.00836380 
150, 0.00320320 
150, 0.00345120 
150, 0.00311930 
150, 0.00358790 
150, 0.00320030 
150, 0.00296440 
150, 0.00293500 
150, 0.00501510 
150, 0.00463660 
150, 0.00571990 
150, 0.00350760 
150, 0.00554280 
150, 0.00420840 
150, 0.00336110 
150, 0.00338220 
160, 0.01459090 
160, 0.00595600 
160, 0.00671910 
160, 0.00532830 
160, 0.00617770 
160, 0.00613360 
160, 0.00423120 
160, 0.00349620 
160, 0.00562950 
160, 0.00958050 
160, 0.00726340 
160, 0.00672890 
160, 0.01436380 
160, 0.00648830 
160, 0.00658830 
160, 0.00543360 
160, 0.00564190 
160, 0.00394660 
160, 0.00612370 
160, 0.00675040 
170, 0.01798540 
170, 0.00668340 
170, 0.00867050 
170, 0.01156370 
170, 0.00875060 
170, 0.00720540 
170, 0.00706330 
170, 0.00687010 
170, 0.00944610 
170, 0.01003180 
170, 0.00823860 
170, 0.00861830 
170, 0.00967280 
170, 0.00772400 
170, 0.00808740 
170, 0.00494330 
170, 0.00446710 
170, 0.00597410 
170, 0.00756000 
170, 0.00728450 
180, 0.01592540 
180, 0.00783100 
180, 0.00923280 
180, 0.00839120 
180, 0.00659750 
180, 0.00928050 
180, 0.00765640 
180, 0.00632950 
180, 0.00582420 
180, 0.01062250 
180, 0.00918880 
180, 0.00549410 
180, 0.00727760 
180, 0.01024980 
180, 0.00562250 
180, 0.00973410 
180, 0.00777940 
180, 0.01140200 
180, 0.00669490 
180, 0.00873910 
190, 0.01205100 
190, 0.01121570 
190, 0.01040950 
190, 0.00976230 
190, 0.00553560 
190, 0.00628770 
190, 0.00867800 
190, 0.00591050 
190, 0.00590140 
190, 0.01832600 
190, 0.01064150 
190, 0.01067180 
190, 0.01432850 
190, 0.00983600 
190, 0.00547100 
190, 0.01140250 
190, 0.00992550 
190, 0.00906300 
190, 0.00575810 
190, 0.00922880 
200, 0.01126220 
200, 0.01061940 
200, 0.01157820 
200, 0.01224630 
200, 0.01584250 
200, 0.01138490 
200, 0.01982430 
200, 0.01153890 
200, 0.00886180 
200, 0.00837200 
200, 0.01166100 
200, 0.01025540 
200, 0.00804500 
200, 0.01504330 
200, 0.00954110 
200, 0.00799500 
200, 0.00853700 
200, 0.00928690 
200, 0.01101310 
200, 0.00602910 
210, 0.00989720 
210, 0.00803730 
210, 0.00966570 
210, 0.01376960 
210, 0.01097700 
210, 0.01251110 
210, 0.01016100 
210, 0.01186110 
210, 0.01046150 
210, 0.00919150 
210, 0.01291290 
210, 0.00971860 
210, 0.01057490 
210, 0.00848550 
210, 0.01031520 
210, 0.01452120 
210, 0.00777230 
210, 0.01017070 
210, 0.01330940 
210, 0.01141040 
220, 0.01430220 
220, 0.01830560 
220, 0.01344690 
220, 0.01286820 
220, 0.01322370 
220, 0.01577890 
220, 0.01110830 
220, 0.01066610 
220, 0.01192940 
